dataset,candidate,column_count,row_count,non_missing_key_rows,missing_key_rows,distinct_non_missing_count,duplicate_non_missing_rows,is_unique_among_non_missing,is_complete,is_candidate_key
Recreation_Sites_INFRA.csv,"[""X""]",1,32114,32114,0,31616,498,False,True,False
Recreation_Sites_INFRA.csv,"[""Y""]",1,32114,32114,0,31593,521,False,True,False
Recreation_Sites_INFRA.csv,"[""objectid""]",1,32114,32114,0,32114,0,True,True,True
Recreation_Sites_INFRA.csv,"[""site_cn""]",1,32114,32114,0,32114,0,True,True,True
Recreation_Sites_INFRA.csv,"[""root_cn""]",1,32114,32114,0,31283,831,False,True,False
Recreation_Sites_INFRA.csv,"[""parent_cn""]",1,32114,831,31283,149,682,False,False,False
Recreation_Sites_INFRA.csv,"[""region""]",1,32114,32114,0,9,32105,False,True,False
Recreation_Sites_INFRA.csv,"[""security_id""]",1,32114,32114,0,111,32003,False,True,False
Recreation_Sites_INFRA.csv,"[""managing_org""]",1,32114,32114,0,502,31612,False,True,False
Recreation_Sites_INFRA.csv,"[""site_id""]",1,32114,32114,0,29972,2142,False,True,False
Recreation_Sites_INFRA.csv,"[""site_name""]",1,32114,32114,0,29735,2379,False,True,False
Recreation_Sites_INFRA.csv,"[""site_subtype""]",1,32114,32114,0,37,32077,False,True,False
Recreation_Sites_INFRA.csv,"[""development_status""]",1,32114,32114,0,1,32113,False,True,False
Recreation_Sites_INFRA.csv,"[""development_scale""]",1,32114,31887,227,6,31881,False,False,False
Recreation_Sites_INFRA.csv,"[""poss_id""]",1,32114,2681,29433,2680,1,False,False,False
Recreation_Sites_INFRA.csv,"[""nrrs_id""]",1,32114,97,32017,97,0,True,False,False
Recreation_Sites_INFRA.csv,"[""total_capacity""]",1,32114,32107,7,617,31490,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_charged""]",1,32114,31869,245,2,31867,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_type""]",1,32114,4796,27318,3,4793,False,False,False
Recreation_Sites_INFRA.csv,"[""recarea_name""]",1,32114,32075,39,30559,1516,False,False,False
Recreation_Sites_INFRA.csv,"[""recarea_enable""]",1,32114,32075,39,3,32072,False,False,False
Recreation_Sites_INFRA.csv,"[""recarea_description""]",1,32114,32075,39,30913,1162,False,False,False
Recreation_Sites_INFRA.csv,"[""recarea_status""]",1,32114,32075,39,7,32068,False,False,False
Recreation_Sites_INFRA.csv,"[""parent_recarea""]",1,32114,26488,5626,1028,25460,False,False,False
Recreation_Sites_INFRA.csv,"[""information_center""]",1,32114,3553,28561,1024,2529,False,False,False
Recreation_Sites_INFRA.csv,"[""current_conditions""]",1,32114,333,31781,222,111,False,False,False
Recreation_Sites_INFRA.csv,"[""official_designation""]",1,32114,3,32111,3,0,True,False,False
Recreation_Sites_INFRA.csv,"[""fee_description""]",1,32114,11490,20624,2173,9317,False,False,False
Recreation_Sites_INFRA.csv,"[""operational_hours""]",1,32114,8667,23447,893,7774,False,False,False
Recreation_Sites_INFRA.csv,"[""open_season""]",1,32114,2610,29504,479,2131,False,False,False
Recreation_Sites_INFRA.csv,"[""best_season""]",1,32114,435,31679,88,347,False,False,False
Recreation_Sites_INFRA.csv,"[""busiest_season""]",1,32114,635,31479,151,484,False,False,False
Recreation_Sites_INFRA.csv,"[""usage_level""]",1,32114,5379,26735,6,5373,False,False,False
Recreation_Sites_INFRA.csv,"[""pack_in_out""]",1,32114,32012,102,2,32010,False,False,False
Recreation_Sites_INFRA.csv,"[""public_site_name""]",1,32114,16854,15260,15882,972,False,False,False
Recreation_Sites_INFRA.csv,"[""alias_name""]",1,32114,15,32099,15,0,True,False,False
Recreation_Sites_INFRA.csv,"[""alternative_name""]",1,32114,4,32110,4,0,True,False,False
Recreation_Sites_INFRA.csv,"[""site_address""]",1,32114,16854,15260,2,16852,False,False,False
Recreation_Sites_INFRA.csv,"[""mailing_address""]",1,32114,16854,15260,2,16852,False,False,False
Recreation_Sites_INFRA.csv,"[""physical_address""]",1,32114,16854,15260,1,16853,False,False,False
Recreation_Sites_INFRA.csv,"[""address_line1""]",1,32114,28,32086,28,0,True,False,False
Recreation_Sites_INFRA.csv,"[""address_line2""]",1,32114,3,32111,3,0,True,False,False
Recreation_Sites_INFRA.csv,"[""address_city""]",1,32114,29,32085,20,9,False,False,False
Recreation_Sites_INFRA.csv,"[""address_state""]",1,32114,29,32085,10,19,False,False,False
Recreation_Sites_INFRA.csv,"[""address_zip_code""]",1,32114,28,32086,19,9,False,False,False
Recreation_Sites_INFRA.csv,"[""address_zip_code4""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""site_directions""]",1,32114,208,31906,186,22,False,False,False
Recreation_Sites_INFRA.csv,"[""site_phone_nbr""]",1,32114,18,32096,8,10,False,False,False
Recreation_Sites_INFRA.csv,"[""site_email_address""]",1,32114,7,32107,7,0,True,False,False
Recreation_Sites_INFRA.csv,"[""rec1stop_url""]",1,32114,2242,29872,2209,33,False,False,False
Recreation_Sites_INFRA.csv,"[""usda_portal_url""]",1,32114,10349,21765,9452,897,False,False,False
Recreation_Sites_INFRA.csv,"[""site_time_zone""]",1,32114,280,31834,5,275,False,False,False
Recreation_Sites_INFRA.csv,"[""important_info""]",1,32114,487,31627,401,86,False,False,False
Recreation_Sites_INFRA.csv,"[""site_contact_notes""]",1,32114,624,31490,382,242,False,False,False
Recreation_Sites_INFRA.csv,"[""rentals_and_guides""]",1,32114,143,31971,49,94,False,False,False
Recreation_Sites_INFRA.csv,"[""passes""]",1,32114,4539,27575,509,4030,False,False,False
Recreation_Sites_INFRA.csv,"[""permit_information""]",1,32114,358,31756,109,249,False,False,False
Recreation_Sites_INFRA.csv,"[""restrictions""]",1,32114,3231,28883,1900,1331,False,False,False
Recreation_Sites_INFRA.csv,"[""closest_towns""]",1,32114,11645,20469,2483,9162,False,False,False
Recreation_Sites_INFRA.csv,"[""states_spanned""]",1,32114,652,31462,29,623,False,False,False
Recreation_Sites_INFRA.csv,"[""water_availability""]",1,32114,11700,20414,445,11255,False,False,False
Recreation_Sites_INFRA.csv,"[""restroom_availability""]",1,32114,11769,20345,585,11184,False,False,False
Recreation_Sites_INFRA.csv,"[""operated_by""]",1,32114,12364,19750,158,12206,False,False,False
Recreation_Sites_INFRA.csv,"[""season_description""]",1,32114,943,31171,344,599,False,False,False
Recreation_Sites_INFRA.csv,"[""directions""]",1,32114,11144,20970,10406,738,False,False,False
Recreation_Sites_INFRA.csv,"[""maximum_elevation""]",1,32114,400,31714,336,64,False,False,False
Recreation_Sites_INFRA.csv,"[""minimum_elevation""]",1,32114,25173,6941,4714,20459,False,False,False
Recreation_Sites_INFRA.csv,"[""activity_type""]",1,32114,1347,30767,37,1310,False,False,False
Recreation_Sites_INFRA.csv,"[""activity_type_count""]",1,32114,32114,0,18,32096,False,True,False
Recreation_Sites_INFRA.csv,"[""activity_types""]",1,32114,1347,30767,735,612,False,False,False
Recreation_Sites_INFRA.csv,"[""activities_distance_from_site""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""service_type""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""services_distance_from_site""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""alerts_description""]",1,32114,122,31992,80,42,False,False,False
Recreation_Sites_INFRA.csv,"[""alerts_start_date""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""alerts_end_date""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""closure_reason""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_closure_description""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_closure_start_date""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_closure_end_date""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""site_opening_start_date""]",1,32114,190,31924,49,141,False,False,False
Recreation_Sites_INFRA.csv,"[""site_opening_end_date""]",1,32114,190,31924,51,139,False,False,False
Recreation_Sites_INFRA.csv,"[""season_name""]",1,32114,130,31984,3,127,False,False,False
Recreation_Sites_INFRA.csv,"[""site_season_start_date""]",1,32114,130,31984,26,104,False,False,False
Recreation_Sites_INFRA.csv,"[""site_season_end_date""]",1,32114,130,31984,29,101,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_type""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""aba_accessible""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""capacity_size_rating""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""min_nbr_people""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""max_nbr_people""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""driveway_doublewide""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""driveway_entry""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""driveway_grade""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""driveway_length""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""driveway_surface""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""max_nbr_vehicles""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""max_vehicle_length""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_length""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_width""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""picnic_table""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""fire_pit""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""tent_pad""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""www_reservable""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""unit_reserve_type""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""type_of_use""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""unit_access""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""shade""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""waterfront_unit""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""water_hookup""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""sewer_hookup""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""electricity_hookup""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""multiple_electricity_details""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""food_storage_locker""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""horse_hitching_post""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""horse_stall_corral""]",1,32114,1,32113,1,0,True,False,False
Recreation_Sites_INFRA.csv,"[""unit_amenities_notes""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""rate""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""rate_type_per_site""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""rate_type_per_unit""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""group_size""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""rate_per_time_frame""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""num_days""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_sunday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_monday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_tuesday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_wednesday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_thursday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_friday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_saturday""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""fee_remarks""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""passes_accepted""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""lmtd_use_award_method""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""lmtd_use_award_type""]",1,32114,0,32114,0,0,False,False,False
Recreation_Sites_INFRA.csv,"[""latitude""]",1,32114,32114,0,31593,521,False,True,False
Recreation_Sites_INFRA.csv,"[""longitude""]",1,32114,32114,0,31616,498,False,True,False
Recreation_Sites_INFRA.csv,"[""stacked_recsite_count""]",1,32114,32114,0,9,32105,False,True,False
Recreation_Sites_INFRA.csv,"[""last_update""]",1,32114,32114,0,5722,26392,False,True,False
Recreation_Sites_INFRA.csv,"[""globalid""]",1,32114,32114,0,32114,0,True,True,True
Recreation_Area_Activities.csv,"[""X""]",1,52482,52317,165,13917,38400,False,False,False
Recreation_Area_Activities.csv,"[""Y""]",1,52482,52317,165,13923,38394,False,False,False
Recreation_Area_Activities.csv,"[""OBJECTID""]",1,52482,52482,0,52482,0,True,True,True
Recreation_Area_Activities.csv,"[""RECAREANAME""]",1,52482,52482,0,13840,38642,False,True,False
Recreation_Area_Activities.csv,"[""LONGITUDE""]",1,52482,52482,0,13962,38520,False,True,False
Recreation_Area_Activities.csv,"[""LATITUDE""]",1,52482,52482,0,13966,38516,False,True,False
Recreation_Area_Activities.csv,"[""RECAREAURL""]",1,52482,52482,0,14469,38013,False,True,False
Recreation_Area_Activities.csv,"[""OPEN_SEASON_START""]",1,52482,21274,31208,686,20588,False,False,False
Recreation_Area_Activities.csv,"[""OPEN_SEASON_END""]",1,52482,12645,39837,443,12202,False,False,False
Recreation_Area_Activities.csv,"[""FORESTNAME""]",1,52482,52482,0,110,52372,False,True,False
Recreation_Area_Activities.csv,"[""RECAREAID""]",1,52482,52482,0,14469,38013,False,True,False
Recreation_Area_Activities.csv,"[""MARKERTYPE""]",1,52482,51755,727,106,51649,False,False,False
Recreation_Area_Activities.csv,"[""MARKERACTIVITY""]",1,52482,51755,727,59,51696,False,False,False
Recreation_Area_Activities.csv,"[""MARKERACTIVITYGROUP""]",1,52482,51755,727,20,51735,False,False,False
Recreation_Area_Activities.csv,"[""RECAREADESCRIPTION""]",1,52482,52478,4,14128,38350,False,False,False
Recreation_Area_Activities.csv,"[""ACTIVITYDESCRIPTION""]",1,52482,925,51557,796,129,False,False,False
Recreation_Area_Activities.csv,"[""PARENTACTIVITYNAME""]",1,52482,51675,807,17,51658,False,False,False
Recreation_Area_Activities.csv,"[""ACTIVITYNAME""]",1,52482,51713,769,77,51636,False,False,False
Recreation_Area_Activities.csv,"[""ACTIVITYID""]",1,52482,51713,769,79,51634,False,False,False
Recreation_Area_Activities.csv,"[""PARENTACTIVITYID""]",1,52482,51713,769,24,51689,False,False,False
Recreation_Area_Activities.csv,"[""SPOTLIGHTDISPLAY""]",1,52482,52482,0,2,52480,False,True,False
Recreation_Area_Activities.csv,"[""ATTRACTIONDISPLAY""]",1,52482,52482,0,2,52480,False,True,False
Recreation_Area_Activities.csv,"[""ACCESSIBILITY""]",1,52482,3934,48548,741,3193,False,False,False
Recreation_Area_Activities.csv,"[""OPENSTATUS""]",1,52482,52482,0,7,52475,False,True,False
Recreation_Area_Activities.csv,"[""SHAPE""]",1,52482,0,52482,0,0,False,False,False
Recreation_Area_Activities.csv,"[""RECAREAID"", ""ACTIVITYID""]",2,52482,51713,769,51713,0,True,False,False
national_parks_raw.csv,"[""""]",1,63,63,0,63,0,True,True,True
national_parks_raw.csv,"[""Name""]",1,63,63,0,63,0,True,True,True
national_parks_raw.csv,"[""Image""]",1,63,0,63,0,0,False,False,False
national_parks_raw.csv,"[""Location""]",1,63,63,0,63,0,True,True,True
national_parks_raw.csv,"[""Date established as park[7][12]""]",1,63,63,0,53,10,False,True,False
national_parks_raw.csv,"[""Area (2021)[13]""]",1,63,63,0,63,0,True,True,True
national_parks_raw.csv,"[""Recreation visitors (2021)[11]""]",1,63,63,0,63,0,True,True,True
national_parks_raw.csv,"[""Description""]",1,63,63,0,63,0,True,True,True
